U+1F18E,negative squared ab
U+1F171,negative squared latin capital letter b
U+1F191,squared cl
U+1F192,squared cool
U+1F193,squared free
U+2139,information source
U+1F194,squared id
U+24C2,circled latin capital letter m
U+1F195,squared new
U+1F196,squared ng
U+1F17E,negative squared latin capital letter o
U+1F197,squared ok
U+1F17F,negative squared latin capital letter p
U+1F198,squared sos
U+1F199,squared up with exclamation mark
U+1F19A,squared vs
U+1F201,squared katakana koko
U+1F202,squared katakana sa
U+1F237,squared cjk unified ideograph-6708
U+1F236,squared cjk unified ideograph-6709
U+1F22F,squared cjk unified ideograph-6307
U+1F250,circled ideograph advantage
U+1F239,squared cjk unified ideograph-5272
U+1F21A,squared cjk unified ideograph-7121
U+1F232,squared cjk unified ideograph-7981
U+1F251,circled ideograph accept
U+1F238,squared cjk unified ideograph-7533
U+1F234,squared cjk unified ideograph-5408
U+1F233,squared cjk unified ideograph-7a7a
U+3297,circled ideograph congratulation
U+3299,circled ideograph secret
U+1F23A,squared cjk unified ideograph-55b6
U+1F235,squared cjk unified ideograph-6e80
U+25AA,black small square
U+25AB,white small square
U+25FB,white medium square
U+25FC,black medium square
U+25FD,white medium small square
U+25FE,black medium small square
U+2B1B,black large square
U+2B1C,white large square
U+1F536,large orange diamond
U+1F537,large blue diamond
U+1F538,small orange diamond
U+1F539,small blue diamond
U+1F53A,up-pointing red triangle
U+1F53B,down-pointing red triangle
U+1F4A0,diamond shape with a dot inside
U+1F518,radio button
U+1F532,black square button
U+1F533,white square button
U+26AA,medium white circle
U+26AB,medium black circle
U+1F534,large red circle
U+1F535,large blue circle
U+1F1E8 U+1F1F3,flag for China
U+1F1E9 U+1F1EA,flag for Germany
U+1F1EA U+1F1F8,flag for Spain
U+1F1EB U+1F1F7,flag for France
U+1F1EC U+1F1E7,flag for United Kingdom
U+1F1EE U+1F1F9,flag for Italy
U+1F1EF U+1F1F5,flag for Japan
U+1F1F0 U+1F1F7,flag for South Korea
U+1F1F7 U+1F1FA,flag for Russia
U+1F1FA U+1F1F8,flag for United States
